 16.278820596099706 = objective
13 81 5 70
13 81 14 84
62 24 66 35
83 90 97 95
13 81 2 69
5 70 2 69
85 2 82 8
97 95 97 86
83 90 97 86
60 98 52 93
30 63 19 61
25 1 31 10
66 35 77 29
62 24 77 29
19 61 30 66
30 63 30 66
13 81 2 87
14 84 2 87
10 94 2 87
19 61 27 49
30 63 27 49
66 35 71 32
77 29 71 32
62 24 71 32
53 77 42 81
52 93 42 81
25 1 17 7
31 10 17 7
15 20 17 7
66 35 62 41
71 32 62 41
2 87 14 82
13 81 14 82
5 70 14 82
14 84 14 82
2 87 15 88
13 81 15 88
14 84 15 88
14 82 15 88
77 60 65 64
73 76 65 64
77 60 62 59
65 64 62 59
53 77 55 76
65 64 55 76
42 81 55 76
55 6 60 3
77 60 68 64
62 59 68 64
65 64 68 64
73 76 68 64
66 35 60 27
71 32 60 27
62 41 60 27
62 24 60 27
27 49 34 35
19 61 35 60
30 63 35 60
27 49 35 60
30 66 35 60
97 95 88 92
83 90 88 92
97 86 88 92
53 77 46 85
55 76 46 85
52 93 46 85
42 81 46 85
2 69 15 64
19 61 15 64
5 70 15 64
30 63 15 64
30 66 15 64
46 85 34 89
42 81 34 89
25 1 35 9
31 10 35 9
68 64 68 50
77 60 68 50
66 35 68 50
62 59 68 50
65 64 68 50
62 41 68 50
15 64 5 55
2 69 5 55
19 61 5 55
5 70 5 55
77 29 88 32
82 8 73 20
77 29 73 20
71 32 73 20
62 24 73 20
60 27 73 20
15 64 12 78
2 87 12 78
13 81 12 78
2 69 12 78
15 88 12 78
5 70 12 78
14 84 12 78
14 82 12 78
85 2 89 5
82 8 89 5
97 95 87 97
88 92 87 97
83 90 87 97
97 86 87 97
15 64 15 61
2 69 15 61
5 55 15 61
19 61 15 61
5 70 15 61
30 63 15 61
30 66 15 61
66 35 62 46
62 59 62 46
62 41 62 46
68 50 62 46
52 93 68 95
83 90 68 95
60 98 68 95
46 85 44 78
53 77 44 78
55 76 44 78
34 89 44 78
42 81 44 78
82 8 72 20
66 35 72 20
77 29 72 20
73 20 72 20
71 32 72 20
62 24 72 20
60 27 72 20
15 64 4 53
2 69 4 53
5 55 4 53
15 61 4 53
46 85 51 90
44 78 51 90
52 93 51 90
42 81 51 90
60 98 51 90
34 35 21 36
27 49 21 36
66 35 63 45
62 59 63 45
71 32 63 45
62 41 63 45
68 50 63 45
62 46 63 45
55 6 64 12
72 20 64 12
60 3 64 12
73 20 64 12
62 24 64 12
60 27 64 12
35 60 46 72
46 85 46 72
53 77 46 72
55 76 46 72
44 78 46 72
